start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-26 17:25:24.390, 2021-07-26 17:25:57.692, 33, Modified Borda Count, Vote 12, 31326
2021-07-26 17:26:02.783, 2021-07-26 17:27:22.931, 80, Majority Voting, Vote 13, 31326
2021-07-26 17:27:28.033, 2021-07-26 17:27:41.662, 13, Combined Approval, Vote 14, 31326
2021-07-26 17:27:46.524, 2021-07-26 17:28:24.380, 37, Score Voting, Vote 15, 31326
2021-07-26 17:28:29.634, 2021-07-26 17:29:12.112, 42, Modified Borda Count, Vote 16, 31326
2021-07-26 17:12:50.381, 2021-07-26 17:13:40.575, 50, Majority Voting, Vote 01, 32968
2021-07-26 17:13:47.567, 2021-07-26 17:14:32.158, 44, Combined Approval, Vote 02, 32968
2021-07-26 17:14:37.089, 2021-07-26 17:15:30.677, 53, Score Voting, Vote 03, 32968
2021-07-26 17:15:35.494, 2021-07-26 17:16:34.244, 58, Modified Borda Count, Vote 04, 32968
2021-07-26 17:16:39.177, 2021-07-26 17:17:17.834, 38, Majority Voting, Vote 05, 32968
2021-07-26 17:17:22.988, 2021-07-26 17:18:27.509, 64, Combined Approval, Vote 06, 32968
2021-07-26 17:18:32.487, 2021-07-26 17:18:54.836, 22, Score Voting, Vote 07, 32968
2021-07-26 17:19:00.221, 2021-07-26 17:19:15.888, 15, Modified Borda Count, Vote 08, 32968
2021-07-26 17:19:21.170, 2021-07-26 17:19:46.321, 25, Majority Voting, Vote 09, 32968
2021-07-26 17:19:51.249, 2021-07-26 17:20:21.010, 29, Combined Approval, Vote 10, 32968
2021-07-26 17:20:25.810, 2021-07-26 17:20:46.971, 21, Score Voting, Vote 11, 32968
2021-07-26 17:20:51.785, 2021-07-26 17:21:19.855, 28, Modified Borda Count, Vote 12, 32968
2021-07-26 17:21:26.718, 2021-07-26 17:22:31.245, 64, Majority Voting, Vote 13, 32968
2021-07-26 17:22:36.124, 2021-07-26 17:22:54.283, 18, Combined Approval, Vote 14, 32968
2021-07-26 17:22:59.107, 2021-07-26 17:23:30.233, 31, Score Voting, Vote 15, 32968
2021-07-26 17:23:35.381, 2021-07-26 17:23:49.765, 14, Modified Borda Count, Vote 16, 32968
2021-07-26 17:07:53.616, 2021-07-26 17:10:40.380, 166, Majority Voting, Vote 01, 35882
2021-07-26 17:10:47.221, 2021-07-26 17:11:14.870, 27, Combined Approval, Vote 02, 35882
2021-07-26 17:11:20.597, 2021-07-26 17:11:56.515, 35, Score Voting, Vote 03, 35882
2021-07-26 17:12:02.691, 2021-07-26 17:12:46.840, 44, Modified Borda Count, Vote 04, 35882
2021-07-26 17:12:54.745, 2021-07-26 17:13:09.363, 14, Majority Voting, Vote 05, 35882
2021-07-26 17:13:14.537, 2021-07-26 17:13:30.341, 15, Combined Approval, Vote 06, 35882
2021-07-26 17:13:35.443, 2021-07-26 17:13:52.539, 17, Score Voting, Vote 07, 35882
2021-07-26 17:13:58.523, 2021-07-26 17:14:15.312, 16, Modified Borda Count, Vote 08, 35882
2021-07-26 17:14:21.110, 2021-07-26 17:14:44.384, 23, Majority Voting, Vote 09, 35882
2021-07-26 17:14:49.392, 2021-07-26 17:15:03.870, 14, Combined Approval, Vote 10, 35882
2021-07-26 17:15:08.813, 2021-07-26 17:15:28.219, 19, Score Voting, Vote 11, 35882
2021-07-26 17:15:33.544, 2021-07-26 17:15:45.606, 12, Modified Borda Count, Vote 12, 35882
2021-07-26 17:15:50.745, 2021-07-26 17:16:42.324, 51, Majority Voting, Vote 13, 35882
2021-07-26 17:16:47.441, 2021-07-26 17:17:09.219, 21, Combined Approval, Vote 14, 35882
2021-07-26 17:17:13.980, 2021-07-26 17:17:45.193, 31, Score Voting, Vote 15, 35882
2021-07-26 17:17:51.338, 2021-07-26 17:18:04.246, 12, Modified Borda Count, Vote 16, 35882
2021-07-26 17:15:44.445, 2021-07-26 17:16:29.509, 45, Majority Voting, Vote 01, 35924
2021-07-26 17:16:35.469, 2021-07-26 17:17:01.759, 26, Combined Approval, Vote 02, 35924
2021-07-26 17:17:08.640, 2021-07-26 17:17:49.180, 40, Score Voting, Vote 03, 35924
2021-07-26 17:17:55.397, 2021-07-26 17:19:04.131, 68, Modified Borda Count, Vote 04, 35924
2021-07-26 17:19:10.076, 2021-07-26 17:19:23.145, 13, Majority Voting, Vote 05, 35924
2021-07-26 17:19:29.190, 2021-07-26 17:19:56.448, 27, Combined Approval, Vote 06, 35924
2021-07-26 17:20:01.946, 2021-07-26 17:20:26.732, 24, Score Voting, Vote 07, 35924
2021-07-26 17:20:32.500, 2021-07-26 17:20:53.701, 21, Modified Borda Count, Vote 08, 35924
2021-07-26 17:21:00.340, 2021-07-26 17:21:25.815, 25, Majority Voting, Vote 09, 35924
2021-07-26 17:21:31.488, 2021-07-26 17:21:45.030, 13, Combined Approval, Vote 10, 35924
2021-07-26 17:21:50.780, 2021-07-26 17:22:31.334, 40, Score Voting, Vote 11, 35924
2021-07-26 17:22:36.876, 2021-07-26 17:23:38.568, 61, Modified Borda Count, Vote 12, 35924
2021-07-26 17:23:44.026, 2021-07-26 17:23:52.134, 8, Majority Voting, Vote 13, 35924
2021-07-26 17:23:57.697, 2021-07-26 17:24:39.920, 42, Combined Approval, Vote 14, 35924
2021-07-26 17:24:45.414, 2021-07-26 17:25:30.947, 45, Score Voting, Vote 15, 35924
2021-07-26 17:25:36.454, 2021-07-26 17:26:02.893, 26, Modified Borda Count, Vote 16, 35924
2021-07-23 17:25:31.863, 2021-07-23 17:26:05.741, 33, Majority Voting, Vote 01, 36475
2021-07-23 17:26:11.202, 2021-07-23 17:26:39.363, 28, Combined Approval, Vote 02, 36475
2021-07-23 17:26:44.233, 2021-07-23 17:27:12.626, 28, Score Voting, Vote 03, 36475
2021-07-23 17:27:17.569, 2021-07-23 17:28:33.100, 75, Modified Borda Count, Vote 04, 36475
2021-07-23 17:28:39.191, 2021-07-23 17:29:32.705, 53, Majority Voting, Vote 05, 36475
2021-07-23 17:29:37.808, 2021-07-23 17:30:02.928, 25, Combined Approval, Vote 06, 36475
2021-07-23 17:30:08.220, 2021-07-23 17:30:20.768, 12, Score Voting, Vote 07, 36475
2021-07-23 17:30:25.884, 2021-07-23 17:30:50.913, 25, Modified Borda Count, Vote 08, 36475
2021-07-23 17:30:55.862, 2021-07-23 17:31:03.977, 8, Majority Voting, Vote 09, 36475
2021-07-23 17:31:08.858, 2021-07-23 17:31:19.465, 10, Combined Approval, Vote 10, 36475
2021-07-23 17:31:24.397, 2021-07-23 17:31:38.543, 14, Score Voting, Vote 11, 36475
2021-07-23 17:31:43.464, 2021-07-23 17:32:01.719, 18, Modified Borda Count, Vote 12, 36475
2021-07-23 17:32:06.643, 2021-07-23 17:32:36.395, 29, Majority Voting, Vote 13, 36475
2021-07-23 17:32:41.297, 2021-07-23 17:32:54.564, 13, Combined Approval, Vote 14, 36475
2021-07-23 17:32:59.430, 2021-07-23 17:33:15.026, 15, Score Voting, Vote 15, 36475
2021-07-23 17:33:19.931, 2021-07-23 17:33:40.971, 21, Modified Borda Count, Vote 16, 36475
2021-07-26 17:09:32.728, 2021-07-26 17:10:04.864, 32, Majority Voting, Vote 01, 36553
2021-07-26 17:10:10.842, 2021-07-26 17:10:34.139, 23, Combined Approval, Vote 02, 36553
2021-07-26 17:10:39.596, 2021-07-26 17:11:03.449, 23, Score Voting, Vote 03, 36553
2021-07-26 17:11:09.284, 2021-07-26 17:11:48.227, 38, Modified Borda Count, Vote 04, 36553
2021-07-26 17:11:54.075, 2021-07-26 17:12:34.932, 40, Majority Voting, Vote 05, 36553
2021-07-26 17:12:40.737, 2021-07-26 17:12:56.077, 15, Combined Approval, Vote 06, 36553
2021-07-26 17:13:01.291, 2021-07-26 17:13:09.454, 8, Score Voting, Vote 07, 36553
2021-07-26 17:13:14.892, 2021-07-26 17:13:30.899, 16, Modified Borda Count, Vote 08, 36553
2021-07-26 17:13:36.157, 2021-07-26 17:13:48.241, 12, Majority Voting, Vote 09, 36553
2021-07-26 17:13:53.533, 2021-07-26 17:14:06.464, 12, Combined Approval, Vote 10, 36553
2021-07-26 17:14:11.707, 2021-07-26 17:14:25.137, 13, Score Voting, Vote 11, 36553
2021-07-26 17:14:30.479, 2021-07-26 17:14:43.289, 12, Modified Borda Count, Vote 12, 36553
2021-07-26 17:14:48.679, 2021-07-26 17:15:19.527, 30, Majority Voting, Vote 13, 36553
2021-07-26 17:15:24.606, 2021-07-26 17:15:34.535, 9, Combined Approval, Vote 14, 36553
2021-07-26 17:15:39.643, 2021-07-26 17:15:52.474, 12, Score Voting, Vote 15, 36553
2021-07-26 17:15:57.472, 2021-07-26 17:16:03.461, 5, Modified Borda Count, Vote 16, 36553
2021-07-26 17:12:44.358, 2021-07-26 17:16:06.458, 202, Majority Voting, Vote 01, 37248
2021-07-26 17:16:12.105, 2021-07-26 17:16:53.254, 41, Combined Approval, Vote 02, 37248
2021-07-26 17:16:58.462, 2021-07-26 17:17:30.393, 31, Score Voting, Vote 03, 37248
2021-07-26 17:17:35.427, 2021-07-26 17:19:08.313, 92, Modified Borda Count, Vote 04, 37248
2021-07-26 17:19:13.387, 2021-07-26 17:19:27.915, 14, Majority Voting, Vote 05, 37248
2021-07-26 17:19:32.999, 2021-07-26 17:19:55.480, 22, Combined Approval, Vote 06, 37248
2021-07-26 17:20:00.471, 2021-07-26 17:20:22.259, 21, Score Voting, Vote 07, 37248
2021-07-26 17:20:27.369, 2021-07-26 17:21:13.082, 45, Modified Borda Count, Vote 08, 37248
2021-07-26 17:21:18.096, 2021-07-26 17:21:31.068, 12, Majority Voting, Vote 09, 37248
2021-07-26 17:21:36.017, 2021-07-26 17:22:01.135, 25, Combined Approval, Vote 10, 37248
2021-07-26 17:22:06.211, 2021-07-26 17:22:23.608, 17, Score Voting, Vote 11, 37248
2021-07-26 17:22:28.561, 2021-07-26 17:22:50.201, 21, Modified Borda Count, Vote 12, 37248
