start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:25:31.863, 2021-07-23 17:26:05.741, 33, Majority Voting, Vote 01, 36475
2021-07-23 17:26:11.202, 2021-07-23 17:26:39.363, 28, Combined Approval, Vote 02, 36475
2021-07-23 17:26:44.233, 2021-07-23 17:27:12.626, 28, Score Voting, Vote 03, 36475
2021-07-23 17:27:17.569, 2021-07-23 17:28:33.100, 75, Modified Borda Count, Vote 04, 36475
2021-07-23 17:28:39.191, 2021-07-23 17:29:32.705, 53, Majority Voting, Vote 05, 36475
2021-07-23 17:29:37.808, 2021-07-23 17:30:02.928, 25, Combined Approval, Vote 06, 36475
2021-07-23 17:30:08.220, 2021-07-23 17:30:20.768, 12, Score Voting, Vote 07, 36475
2021-07-23 17:30:25.884, 2021-07-23 17:30:50.913, 25, Modified Borda Count, Vote 08, 36475
2021-07-23 17:30:55.862, 2021-07-23 17:31:03.977, 8, Majority Voting, Vote 09, 36475
2021-07-23 17:31:08.858, 2021-07-23 17:31:19.465, 10, Combined Approval, Vote 10, 36475
2021-07-23 17:31:24.397, 2021-07-23 17:31:38.543, 14, Score Voting, Vote 11, 36475
2021-07-23 17:31:43.464, 2021-07-23 17:32:01.719, 18, Modified Borda Count, Vote 12, 36475
2021-07-23 17:32:06.643, 2021-07-23 17:32:36.395, 29, Majority Voting, Vote 13, 36475
2021-07-23 17:32:41.297, 2021-07-23 17:32:54.564, 13, Combined Approval, Vote 14, 36475
2021-07-23 17:32:59.430, 2021-07-23 17:33:15.026, 15, Score Voting, Vote 15, 36475
2021-07-23 17:33:19.931, 2021-07-23 17:33:40.971, 21, Modified Borda Count, Vote 16, 36475
2021-07-23 17:29:01.620, 2021-07-23 17:29:50.793, 49, Majority Voting, Vote 01, 43263
2021-07-23 17:29:56.451, 2021-07-23 17:30:26.816, 30, Combined Approval, Vote 02, 43263
2021-07-23 17:30:35.627, 2021-07-23 17:31:30.614, 54, Score Voting, Vote 03, 43263
2021-07-23 17:31:35.465, 2021-07-23 17:32:41.942, 66, Modified Borda Count, Vote 04, 43263
2021-07-23 17:32:47.076, 2021-07-23 17:33:48.645, 61, Majority Voting, Vote 05, 43263
2021-07-23 17:33:54.508, 2021-07-23 17:34:52.907, 58, Combined Approval, Vote 06, 43263
2021-07-23 17:34:57.999, 2021-07-23 17:35:17.656, 19, Score Voting, Vote 07, 43263
2021-07-23 17:35:22.681, 2021-07-23 17:35:48.201, 25, Modified Borda Count, Vote 08, 43263
2021-07-23 17:35:52.985, 2021-07-23 17:36:20.165, 27, Majority Voting, Vote 09, 43263
2021-07-23 17:36:25.145, 2021-07-23 17:36:33.628, 8, Combined Approval, Vote 10, 43263
2021-07-23 17:36:38.863, 2021-07-23 17:36:56.224, 17, Score Voting, Vote 11, 43263
2021-01-19 21:06:04.883, 2021-01-19 21:06:43.485, 38, Majority Voting, Vote 01, 54511
2021-01-19 21:06:48.675, 2021-01-19 21:07:02.776, 14, Combined Approval, Vote 02, 54511
2021-01-19 21:07:07.708, 2021-01-19 21:07:20.430, 12, Score Voting, Vote 03, 54511
2021-01-19 21:07:25.372, 2021-01-19 21:08:19.789, 54, Modified Borda Count, Vote 04, 54511
2021-01-19 21:08:24.667, 2021-01-19 21:08:50.335, 25, Majority Voting, Vote 05, 54511
2021-01-19 21:08:55.139, 2021-01-19 21:09:08.856, 13, Combined Approval, Vote 06, 54511
2021-01-19 21:09:13.666, 2021-01-19 21:09:24.585, 10, Score Voting, Vote 07, 54511
2021-01-19 21:09:29.049, 2021-01-19 21:09:41.111, 12, Modified Borda Count, Vote 08, 54511
2021-01-19 21:09:45.980, 2021-01-19 21:09:54.773, 8, Majority Voting, Vote 09, 54511
2021-01-19 21:09:59.578, 2021-01-19 21:10:23.015, 23, Combined Approval, Vote 10, 54511
2021-01-19 21:10:27.765, 2021-01-19 21:10:38.333, 10, Score Voting, Vote 11, 54511
2021-01-19 21:10:43.015, 2021-01-19 21:10:53.393, 10, Modified Borda Count, Vote 12, 54511
2021-01-19 21:10:58.067, 2021-01-19 21:11:10.790, 12, Majority Voting, Vote 13, 54511
2021-01-19 21:11:15.751, 2021-01-19 21:11:41.067, 25, Combined Approval, Vote 14, 54511
2021-01-19 21:11:45.806, 2021-01-19 21:11:55.126, 9, Score Voting, Vote 15, 54511
2021-01-19 21:11:59.832, 2021-01-19 21:12:14.503, 14, Modified Borda Count, Vote 16, 54511
2021-01-23 12:36:13.632, 2021-01-23 12:36:16.488, 2, Majority Voting, Vote 01, 56932
2021-01-23 12:34:45.565, 2021-01-23 12:35:00.699, 15, Combined Approval, Vote 02, 56932
2021-01-23 12:35:20.675, 2021-01-23 12:35:31.208, 10, Score Voting, Vote 03, 56932
2021-01-23 12:35:39.655, 2021-01-23 12:35:52.384, 12, Modified Borda Count, Vote 04, 56932
2021-01-23 12:35:58.459, 2021-01-23 12:36:08.650, 10, Majority Voting, Vote 05, 56932
2021-01-23 12:36:22.123, 2021-01-23 12:36:36.210, 14, Combined Approval, Vote 06, 56932
2021-01-20 19:24:47.461, 2021-01-20 19:25:30.670, 43, Majority Voting, Vote 01, 57788
2021-01-20 19:25:35.911, 2021-01-20 19:25:50.099, 14, Combined Approval, Vote 02, 57788
2021-01-20 19:25:54.987, 2021-01-20 19:26:16.826, 21, Score Voting, Vote 03, 57788
2021-01-20 19:26:21.554, 2021-01-20 19:26:48.988, 27, Modified Borda Count, Vote 04, 57788
2021-01-20 19:26:53.826, 2021-01-20 19:28:12.915, 79, Majority Voting, Vote 05, 57788
2021-01-20 19:28:17.696, 2021-01-20 19:28:44.373, 26, Combined Approval, Vote 06, 57788
2021-01-20 19:28:49.203, 2021-01-20 19:29:04.076, 14, Score Voting, Vote 07, 57788
2021-01-28 18:22:52.254, 2021-01-28 18:23:23.153, 30, Modified Borda Count, Vote 08, 57788
2021-01-28 18:23:28.097, 2021-01-28 18:23:39.039, 10, Majority Voting, Vote 09, 57788
2021-01-28 18:23:43.877, 2021-01-28 18:23:53.365, 9, Combined Approval, Vote 10, 57788
2021-01-28 18:23:58.232, 2021-01-28 18:24:07.294, 9, Score Voting, Vote 11, 57788
2021-01-28 18:24:12.084, 2021-01-28 18:24:30.141, 18, Modified Borda Count, Vote 12, 57788
2021-01-28 18:24:34.850, 2021-01-28 18:24:52.198, 17, Majority Voting, Vote 13, 57788
2021-01-28 18:24:56.953, 2021-01-28 18:25:01.536, 4, Combined Approval, Vote 14, 57788
2021-01-28 18:25:06.292, 2021-01-28 18:25:18.501, 12, Score Voting, Vote 15, 57788
2021-01-28 18:25:23.241, 2021-01-28 18:25:29.861, 6, Modified Borda Count, Vote 16, 57788
2021-07-23 17:15:43.321, 2021-07-23 17:16:44.387, 61, Majority Voting, Vote 01, 61731
2021-07-23 17:16:50.183, 2021-07-23 17:17:33.906, 43, Combined Approval, Vote 02, 61731
2021-07-23 17:17:39.963, 2021-07-23 17:18:14.579, 34, Score Voting, Vote 03, 61731
2021-07-23 17:18:20.385, 2021-07-23 17:19:20.277, 59, Modified Borda Count, Vote 04, 61731
2021-07-23 17:19:25.571, 2021-07-23 17:19:48.735, 23, Majority Voting, Vote 05, 61731
2021-07-23 17:19:55.264, 2021-07-23 17:20:13.227, 17, Combined Approval, Vote 06, 61731
