time, state, vote_mechanism, vote_name, short_id
2021-07-28 17:19:34.149, ["1"; "3"; "0"; "4"; "2"], Modified Borda Count, Vote 12, 62174
2021-07-28 17:20:01.774, ["3"], Majority Voting, Vote 13, 62174
2021-07-28 17:20:12.696, ["0"; "0"; "0"; "1"; "0"], Combined Approval, Vote 14, 62174
2021-07-28 17:20:14.164, ["1"; "0"; "0"; "1"; "0"], Combined Approval, Vote 14, 62174
2021-07-28 17:20:15.091, ["1"; "0"; "1"; "1"; "0"], Combined Approval, Vote 14, 62174
2021-07-28 17:20:26.555, ["0"; "0"; "0"; "1"; "0"], Score Voting, Vote 15, 62174
2021-07-28 17:20:26.723, ["0"; "0"; "0"; "2"; "0"], Score Voting, Vote 15, 62174
2021-07-28 17:20:27.041, ["0"; "0"; "0"; "3"; "0"], Score Voting, Vote 15, 62174
2021-07-28 17:20:27.185, ["0"; "0"; "0"; "4"; "0"], Score Voting, Vote 15, 62174
2021-07-28 17:20:27.314, ["0"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 62174
2021-07-28 17:20:28.116, ["1"; "0"; "0"; "5"; "0"], Score Voting, Vote 15, 62174
